event_slug,city,event_date,cohort,scope,rows,coverage,zero_rate,ic,crossing_markout,top1_update_share,top3_update_share,top1_trade_share,top3_trade_share,top1_probability_mass,top3_probability_mass,active_market_count
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,clean,all_market,21642,0.9989834580907495,0.8802960222016651,0.04957043158448867,-0.005701488040051919,0.12900054511710565,0.4306188812180374,0.2994350282485876,0.7401129943502824,0.39261479321391857,0.8263759955515296,4.234967155128853
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,clean,dynamic_active,8381,0.9990454599689774,0.7944583781201481,0.0730583563369616,-0.010814200119832234,0.22032726186600077,0.7354781246888699,0.2994350282485876,0.7401129943502824,0.4488032409254798,0.9475862640179382,4.234967155128853
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,clean,all_market,21658,0.9989842090682427,0.8362913662414494,0.03159458497207632,-0.00875626981167257,0.15847458078112278,0.49373686199170874,0.2859848484848485,0.6912878787878788,0.4508297833365192,0.8857062033006187,5.015159171298635
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,clean,dynamic_active,9925,0.9988916876574307,0.6913455719184991,0.05777248371278015,-0.017280004099620785,0.20189920362538255,0.6290288243406146,0.2859848484848485,0.6912878787878788,0.4735371919317497,0.9322906268236918,5.015159171298635
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,all_market,13015,0.9989243180945063,0.756326436427967,0.10915465995222837,-0.005419267614338691,0.2552605358713642,0.7555919640139909,0.45460526315789473,0.8868421052631579,0.6451114352070877,0.9481771117807781,4.485598787266296
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,dynamic_active,8877,0.9990987946378281,0.6607283797496899,0.1507195754583011,-0.007471743077621426,0.2699344094336146,0.7990278241901253,0.45460526315789473,0.8868421052631579,0.6520165277069151,0.9587187835198759,4.485598787266296
highest-temperature-in-singapore-on-june-6-2026,Singapore,2026-06-06,degraded,all_market,2435,0.9909650924024641,0.8164111065064236,0.06767625304130177,-0.0077203177257525075,0.16049474151977486,0.481286722954624,0.22448979591836735,0.7142857142857143,0.4414149468958905,0.8871569594326202,4.6016260162601625
highest-temperature-in-singapore-on-june-6-2026,Singapore,2026-06-06,degraded,dynamic_active,1132,0.9929328621908127,0.699288256227758,0.09640357609589593,-0.01084144144144144,0.21173826661889716,0.6349542389994464,0.22448979591836735,0.7142857142857143,0.4627361212297134,0.9301821005392263,4.6016260162601625
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,degraded,all_market,2634,0.9916476841305999,0.7193721286370597,0.09481948503039829,-0.010966923076923075,0.14814538843270791,0.5145671579512093,0.037037037037037035,0.5555555555555556,0.3173970815920301,0.8200708486302819,4.58203125
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,degraded,dynamic_active,1173,0.9931798806479113,0.5570815450643777,0.1576303154887289,-0.018583622183708834,0.20767961225896756,0.7213529153696702,0.037037037037037035,0.5555555555555556,0.34830661324159706,0.9007140449970583,4.58203125
highest-temperature-in-mexico-city-on-june-6-2026,Mexico City,2026-06-06,degraded,all_market,2743,0.991979584396646,0.7184858507901507,0.06666638019828379,-0.012964204112718966,0.10531740954005829,0.42955143243051114,0.09722222222222222,0.3055555555555556,0.29575460755238986,0.7390544300767536,5.109022556390977
highest-temperature-in-mexico-city-on-june-6-2026,Mexico City,2026-06-06,degraded,dynamic_active,1359,0.9933774834437086,0.5459259259259259,0.07233666952252825,-0.02029251968503937,0.13511788043230424,0.5510967212367185,0.09722222222222222,0.3055555555555556,0.33173631671401793,0.829017671426893,5.109022556390977
highest-temperature-in-munich-on-june-6-2026,Munich,2026-06-06,degraded,all_market,2573,0.9914496696463272,0.6558212465699725,0.06434433215654486,-0.006010609037328096,0.09020390683281297,0.34715967175973256,0.2,0.6461538461538462,0.32798276312079555,0.8011256253069297,5.747967479674797
highest-temperature-in-munich-on-june-6-2026,Munich,2026-06-06,degraded,dynamic_active,1414,0.9929278642149929,0.5313390313390314,0.11769310886436056,-0.00858863473909936,0.1170507408104547,0.4504826696066041,0.2,0.6461538461538462,0.339033806355656,0.8288097428173868,5.747967479674797
highest-temperature-in-toronto-on-june-7-2026,Toronto,2026-06-07,degraded,all_market,8499,0.997411460171785,0.8735401675120915,0.07124526804981904,-0.0048345926800472255,0.10317379396181041,0.32193247381540874,0.35789473684210527,0.7368421052631579,0.3328578229846176,0.8082115012222887,5.121951219512195
highest-temperature-in-toronto-on-june-7-2026,Toronto,2026-06-07,degraded,dynamic_active,3990,0.9979949874686717,0.7727272727272727,0.11642540476399448,-0.008364150943396225,0.1529524593838119,0.47725649832948497,0.35789473684210527,0.7368421052631579,0.36597522515610154,0.8893547690063873,5.121951219512195
highest-temperature-in-chengdu-on-june-7-2026,Chengdu,2026-06-07,degraded,all_market,4607,0.9965270240937704,0.7996079285558702,0.02844329300734219,-0.005889715536105033,0.21077071375795742,0.6655877359090664,0.5329949238578681,0.817258883248731,0.8434492435626135,0.9734809184357383,4.272873194221509
highest-temperature-in-chengdu-on-june-7-2026,Chengdu,2026-06-07,degraded,dynamic_active,2662,0.9977460555972952,0.692394578313253,0.045563431104610905,-0.008965654648956357,0.24750981851195317,0.7816052656528771,0.5329949238578681,0.817258883248731,0.8515498286032611,0.9832142422445064,4.272873194221509
highest-temperature-in-nyc-on-june-7-2026,NYC,2026-06-07,degraded,all_market,6979,0.9974208339303625,0.8164056888378106,0.10454479788489784,-0.004165898949186699,0.13004336834316485,0.5306652117126291,0.24397590361445784,0.6295180722891566,0.4815611955366352,0.923985351878456,5.498074454428755
highest-temperature-in-nyc-on-june-7-2026,NYC,2026-06-07,degraded,dynamic_active,4283,0.9967312631333177,0.7458421175919419,0.13902729297367214,-0.005666353824495544,0.16106762817694134,0.6572652500127286,0.24397590361445784,0.6295180722891566,0.49636669584021914,0.9524593619765955,5.498074454428755
highest-temperature-in-atlanta-on-june-7-2026,Atlanta,2026-06-07,degraded,all_market,6991,0.9974252610499214,0.7533342894019791,0.09006096374323251,-0.00858962673611111,0.12605196364634047,0.3624747304872295,0.16666666666666666,0.5833333333333334,0.3754165107430467,0.8267522630733999,5.688061617458279
highest-temperature-in-atlanta-on-june-7-2026,Atlanta,2026-06-07,degraded,dynamic_active,4431,0.997291807718348,0.6754921928038018,0.07859147062920824,-0.011621788990825686,0.17953698571454266,0.5162761342770859,0.16666666666666666,0.5833333333333334,0.4014420360480687,0.884371151005678,5.688061617458279
highest-temperature-in-buenos-aires-on-june-8-2026,Buenos Aires,2026-06-08,clean,all_market,20736,0.9990354938271605,0.8722726395056961,0.047324713508635964,-0.005488043951788567,0.14720964890357577,0.39663652155668483,0.3431372549019608,0.696078431372549,0.4195625868195856,0.88131869644152,4.797492767598843
highest-temperature-in-buenos-aires-on-june-8-2026,Buenos Aires,2026-06-08,clean,dynamic_active,9950,0.9991959798994975,0.8205592436129552,0.08247959944289344,-0.008279327068808729,0.25071137490442746,0.6755079466422842,0.3431372549019608,0.696078431372549,0.4546242793500515,0.957411358201292,4.797492767598843
highest-temperature-in-taipei-on-june-8-2026,Taipei,2026-06-08,clean,all_market,24287,0.9990941656029975,0.7932412940449207,0.070833909537807,-0.007216864235264963,0.16759325526302662,0.4330428178609496,0.3275862068965517,0.6343012704174229,0.44718861344656874,0.7864601212843638,5.794396746497966
highest-temperature-in-taipei-on-june-8-2026,Taipei,2026-06-08,clean,dynamic_active,12823,0.9995320907743898,0.6765233674026684,0.0887078229667336,-0.011252388410336728,0.21478102832599882,0.5549709120655891,0.3275862068965517,0.6343012704174229,0.4757812633061827,0.8569115965566888,5.794396746497966
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,all_market,24410,0.9990987300286768,0.8464408725602756,0.05918772561565759,-0.005160661340800528,0.14597177467742545,0.46778845263282515,0.25142857142857145,0.66,0.3984840713294897,0.8873902298201661,4.902252252252253
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,dynamic_active,10883,0.9992649085730038,0.7394942528735632,0.09839091314469585,-0.009171496019255694,0.21778877927446197,0.6979368188317853,0.25142857142857145,0.66,0.42198059220567824,0.9407073467860657,4.902252252252253
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,all_market,24023,0.9990842109644924,0.7921753260280822,0.06765737300493596,-0.006279821697639377,0.15552478058233768,0.479706368717768,0.32817153067301963,0.6944609886837403,0.3857767267998753,0.7617124263313397,6.290676416819013
highest-temperature-in-beijing-on-june-8-2026,Beijing,2026-06-08,clean,dynamic_active,13764,0.9995640802092415,0.7108591365023986,0.07966771289940533,-0.009006614046627202,0.19613314591529454,0.6049603083182429,0.32817153067301963,0.6944609886837403,0.41788810493794776,0.8398664474188089,6.290676416819013
highest-temperature-in-chicago-on-june-9-2026,Chicago,2026-06-09,clean,all_market,22773,0.999033943705265,0.844929893191508,0.06965376251601446,-0.00684147201410313,0.1589902220746632,0.3992482395436079,0.19696969696969696,0.5189393939393939,0.3669192565590122,0.7978357149349089,5.030405405405405
highest-temperature-in-chicago-on-june-9-2026,Chicago,2026-06-09,clean,dynamic_active,10423,0.9994243499952029,0.7695113756359796,0.08683936201411305,-0.00987325368532614,0.25689426832743795,0.6450999504259298,0.19696969696969696,0.5189393939393939,0.4153965796924526,0.9056103010208003,5.030405405405405
