event_slug,city,quality,factor,horizon_seconds,slice_name,slice_value,token_count,coverage,zero_rate,ic,nonzero_hit_rate,top_bottom,crossing_markout_diagnostic
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,300,activity_bucket,high,11,0.9016556149882131,0.7111988099871671,0.10436500292117375,0.5012264198520882,0.00091058663915205,-0.0022661619179861984
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,300,activity_bucket,low,11,0.967771729250067,0.7272011522208517,0.17708205117324252,0.6235881611761456,0.001682162863986312,-0.003045730660134066
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,300,activity_bucket,medium,11,0.9688044475355002,0.7077255073868954,0.15650420971061077,0.6021176025599094,0.0010902545428328198,-0.0026276249499053318
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,300,lifecycle_bucket,early,11,0.9610981260931454,0.700712063026739,0.13596849084877438,0.5979754966424647,0.001254368644256541,-0.003059408249223954
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,300,lifecycle_bucket,late,1,0.7696428571428572,0.5916473317865429,0.20206992740086233,0.5227272727272727,0.0003547619047618657,-0.000738979118329496
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,300,lifecycle_bucket,mid,6,0.9915855957463376,0.6712889357449819,0.2127465376843585,0.5459125552946693,0.001049159935749494,-0.002270922796969081
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,300,price_bucket,"(0.80,0.96]",1,1.0,0.46774225477580916,0.23340189123550661,0.632289336316182,0.006503911146198365,-0.007334317884470529
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,300,price_bucket,"(0.96,1]",1,0.9658663139688677,0.46358034444620005,0.0677157382472939,0.4460552268244576,0.001329030513443057,-0.004738042445359511
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,300,price_bucket,"[0,0.04)",10,0.9594450849556454,0.7289352408805707,0.14368838848436122,0.5823257610878134,0.0004967211242066439,-0.0018694211560206931
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,300,price_bucket,"[0.04,0.20)",8,0.5,0.16390027774103955,0.10693721941736824,0.5604682476202355,0.0012620064175970596,-0.013559095241927204
highest-temperature-in-beijing-on-june-6-2026,Beijing,degraded,depth_imbalance_1,300,price_bucket,"[0.20,0.80]",1,1.0,0.0,0.23919726538258354,0.7664233576642335,0.023177083333333334,-0.0880656934306569
