event_slug,market_label,token_id,factor,horizon_seconds,valid_rows,nonzero_rows,spearman_ic,nonzero_hit_rate,average_win_move,average_loss_move,zero_return_share,top_minus_bottom
highest-temperature-in-shenzhen-on-june-6-2026,32°C,56269580944473117630968630295073798494599865721189151920421039226477710587745,depth_imbalance_1,120,148678,104560,0.040989245735809386,0.47784047436878346,0.009024668254508338,0.007800098906533327,0.2873458077186941,0.0019197833718232274
highest-temperature-in-shenzhen-on-june-6-2026,32°C,56269580944473117630968630295073798494599865721189151920421039226477710587745,depth_imbalance_1,600,148622,129664,0.06181274014950389,0.4627344521224087,0.015275900000000002,0.012764275666054203,0.11704189151000524,0.003345881975742266
highest-temperature-in-shenzhen-on-june-6-2026,33°C,6817999437983808478997678054503058899023201108821154310023155050978293466556,depth_imbalance_1,30,114637,38096,0.15138759770042856,0.5367230155396892,0.011883503692473225,0.01372817156779421,0.6587925364411141,0.002676379982185713
highest-temperature-in-shenzhen-on-june-6-2026,33°C,6817999437983808478997678054503058899023201108821154310023155050978293466556,depth_imbalance_1,120,113962,53500,0.14552123537769904,0.48190654205607475,0.02125434411604996,0.018202179089400392,0.5170758673943946,0.007290069981406312
highest-temperature-in-shenzhen-on-june-6-2026,33°C,6817999437983808478997678054503058899023201108821154310023155050978293466556,depth_imbalance_1,600,113016,69264,0.1615776450410252,0.405506468006468,0.031980346779648956,0.023475241032615297,0.36975295533375807,0.010404337563521774
highest-temperature-in-shenzhen-on-june-6-2026,34°C,92249648173067037783150166307622359153381537252070907413438038797085410901179,depth_imbalance_1,30,68535,23529,0.07195940721426955,0.5259892048110842,0.005849183904330963,0.0056792342867389945,0.635470927263442,0.0005479667955023519
highest-temperature-in-shenzhen-on-june-6-2026,34°C,92249648173067037783150166307622359153381537252070907413438038797085410901179,depth_imbalance_1,120,68201,32630,0.041509544639432495,0.49800796812749004,0.0071242769230769245,0.007094627594627597,0.49906892860808494,-0.00040411247293576573
highest-temperature-in-shenzhen-on-june-6-2026,34°C,92249648173067037783150166307622359153381537252070907413438038797085410901179,depth_imbalance_1,600,67093,44965,-0.0027815018472113675,0.4412098298676749,0.007632567165683755,0.00924379129188888,0.3061869345535302,-0.003681113744698044
highest-temperature-in-shenzhen-on-june-6-2026,35°C,85690435827099886252451498647101045026420851727000371897752470624185074824926,depth_imbalance_1,30,35834,10700,0.07486157191957794,0.5297196261682243,0.003708539167254763,0.003432730524642289,0.6965730870123347,0.0005581814038630151
highest-temperature-in-shenzhen-on-june-6-2026,35°C,85690435827099886252451498647101045026420851727000371897752470624185074824926,depth_imbalance_1,120,35780,14002,0.03983424367193168,0.48635909155834883,0.0036123348017621146,0.0033886262513904337,0.6028507546115148,0.0007255084311361221
highest-temperature-in-shenzhen-on-june-6-2026,35°C,85690435827099886252451498647101045026420851727000371897752470624185074824926,depth_imbalance_1,600,35455,20259,0.08238484873434157,0.44395083666518587,0.0036199688681343117,0.0035822458943630714,0.42050486532223946,0.0006806938904759675
highest-temperature-in-shenzhen-on-june-6-2026,36°C,27475904783229297881449566526626908417044945682370684137823584412336317236860,depth_imbalance_1,30,32691,3693,0.04625443161100756,0.4768480909829407,0.001296422487223169,0.0011790890269151137,0.8832706249426447,0.00010265124541452166
highest-temperature-in-shenzhen-on-june-6-2026,36°C,27475904783229297881449566526626908417044945682370684137823584412336317236860,depth_imbalance_1,120,32683,6826,0.027981961728411036,0.48329915030764725,0.00171415580478933,0.0014122483697193082,0.7870452528837621,0.00024397869049244258
highest-temperature-in-shenzhen-on-june-6-2026,36°C,27475904783229297881449566526626908417044945682370684137823584412336317236860,depth_imbalance_1,600,32641,11785,0.22862264609791916,0.6081459482392872,0.002220385098367518,0.0024007145950627985,0.6349989277289299,0.0008359526187533537
highest-temperature-in-shenzhen-on-june-6-2026,37°C,59885968637262425845158204986600238340160541958408369078766212991373866434924,depth_imbalance_1,30,19964,2266,0.17388255084810658,0.7140335392762577,0.0010343016069221263,0.0012723765432098766,0.8864956922460429,1.3381758076024476e-05
highest-temperature-in-shenzhen-on-june-6-2026,37°C,59885968637262425845158204986600238340160541958408369078766212991373866434924,depth_imbalance_1,120,19959,3387,0.16865709362062103,0.6914673752583407,0.0011315115286080276,0.00151244019138756,0.8303021193446566,-3.8449444838083955e-05
highest-temperature-in-shenzhen-on-june-6-2026,37°C,59885968637262425845158204986600238340160541958408369078766212991373866434924,depth_imbalance_1,600,19921,6372,0.16659946870951556,0.630571249215317,0.0013924838227974117,0.0021905267629566696,0.6801365393303549,-0.00013617869565082008
highest-temperature-in-shenzhen-on-june-6-2026,38°C,30376891988968124521100396283765455007099981430697047938314953030818025004573,depth_imbalance_1,30,5990,398,-0.005223255675981097,0.7185929648241206,0.002164335664335665,0.0008258928571428573,0.9335559265442404,-0.00014970085199821743
highest-temperature-in-shenzhen-on-june-6-2026,38°C,30376891988968124521100396283765455007099981430697047938314953030818025004573,depth_imbalance_1,120,5963,746,0.07998463489389267,0.6849865951742627,0.0038170254403131127,0.0010361702127659577,0.8748951869864162,1.559251559251563e-05
highest-temperature-in-shenzhen-on-june-6-2026,38°C,30376891988968124521100396283765455007099981430697047938314953030818025004573,depth_imbalance_1,600,5781,1317,0.02368317473219024,0.7334851936218679,0.004648033126293998,0.0013874643874643878,0.772184743124027,-0.0005911219204953203
highest-temperature-in-shenzhen-on-june-6-2026,39°C,42984116457341885410401223672501697701898110627943737982602793139130203133806,depth_imbalance_1,30,4407,1046,-0.09749271505204098,0.5267686424474187,0.005487295825771324,0.005571717171717173,0.7406398910823689,-0.0017293536046359566
highest-temperature-in-shenzhen-on-june-6-2026,39°C,42984116457341885410401223672501697701898110627943737982602793139130203133806,depth_imbalance_1,120,4369,1176,-0.048466610031356244,0.5680272108843537,0.008539670658682635,0.007090551181102363,0.708171206225681,-0.003956289483463398
highest-temperature-in-shenzhen-on-june-6-2026,39°C,42984116457341885410401223672501697701898110627943737982602793139130203133806,depth_imbalance_1,600,3850,880,0.26566030556965,0.75,0.012703030303030303,0.001290909090909091,0.7457142857142857,-0.004263232420257693
highest-temperature-in-shenzhen-on-june-6-2026,40°C or higher,37533653568396497210804524673817125947883408577112831836972028980339214955325,depth_imbalance_1,30,4349,1168,0.19069300272169348,0.8424657534246576,0.010231707317073173,0.006407608695652175,0.7128075419636698,-0.015645447060472287
highest-temperature-in-shenzhen-on-june-6-2026,40°C or higher,37533653568396497210804524673817125947883408577112831836972028980339214955325,depth_imbalance_1,120,4320,1269,0.20691525820863937,0.8581560283687943,0.019612029384756657,0.006830555555555556,0.6875,-0.032453290689410094
highest-temperature-in-shenzhen-on-june-6-2026,40°C or higher,37533653568396497210804524673817125947883408577112831836972028980339214955325,depth_imbalance_1,600,3667,805,0.10035217394229122,0.8285714285714286,0.03393403298350824,0.0009782608695652173,0.7583856013089719,-0.054833948443659665
highest-temperature-in-jeddah-on-june-10-2026,27°C or below,15734496478072800539432352141114527740189869158889192337516779532104892446892,depth_imbalance_1,30,7520,42,0.09169881378822907,0.8333333333333334,0.0006285714285714286,0.0005000000000000003,0.9944148936170213,5.737464854732896e-05
highest-temperature-in-jeddah-on-june-10-2026,27°C or below,15734496478072800539432352141114527740189869158889192337516779532104892446892,depth_imbalance_1,120,7505,83,0.1270593127139973,0.7951807228915663,0.0006666666666666669,0.0005000000000000002,0.9889407061958694,0.00031659963328798725
highest-temperature-in-jeddah-on-june-10-2026,27°C or below,15734496478072800539432352141114527740189869158889192337516779532104892446892,depth_imbalance_1,600,7445,605,0.28510829354749706,0.7322314049586777,0.0005767494356659144,0.0005000000000000001,0.9187374076561451,0.0006321155480033985
highest-temperature-in-jeddah-on-june-10-2026,28°C,1088587218605020488264172618327027458579050503486985820937399774474288483487,depth_imbalance_1,30,7664,106,0.14746873993699683,0.839622641509434,0.0006123595505617973,0.0010882352941176475,0.9861691022964509,1.0736000670917254e-05
highest-temperature-in-jeddah-on-june-10-2026,28°C,1088587218605020488264172618327027458579050503486985820937399774474288483487,depth_imbalance_1,120,7637,142,0.1287317263486869,0.7464788732394366,0.0008584905660377353,0.0007777777777777778,0.9814063113788136,2.3427925701862486e-05
highest-temperature-in-jeddah-on-june-10-2026,28°C,1088587218605020488264172618327027458579050503486985820937399774474288483487,depth_imbalance_1,600,7580,697,0.06951700763577845,0.533715925394548,0.0008803763440860208,0.0008630769230769231,0.908047493403694,-5.8716611234850845e-05
highest-temperature-in-jeddah-on-june-10-2026,29°C,35552160707982419204761225963908400063069521109096513806708549346598166113882,depth_imbalance_1,30,7655,131,0.07016094522081408,0.5725190839694656,0.000966666666666666,0.001125,0.9828870019595036,-5.560209026356198e-05
highest-temperature-in-jeddah-on-june-10-2026,29°C,35552160707982419204761225963908400063069521109096513806708549346598166113882,depth_imbalance_1,120,7625,263,-0.03255250813462328,0.3688212927756654,0.0009639175257731951,0.0013132530120481933,0.9655081967213115,-0.00031226651832120595
highest-temperature-in-jeddah-on-june-10-2026,29°C,35552160707982419204761225963908400063069521109096513806708549346598166113882,depth_imbalance_1,600,7567,831,-0.009900864979072626,0.38267148014440433,0.0009088050314465401,0.0009590643274853803,0.8901810492929827,-0.00036129463089496275
highest-temperature-in-jeddah-on-june-10-2026,30°C,14009929689976143526001061732424371434705619383177397771832848658327328063329,depth_imbalance_1,30,13986,1312,0.23164739552622496,0.5442073170731707,0.000800420168067227,0.0008837792642140469,0.9061919061919061,6.511819790619943e-05
highest-temperature-in-jeddah-on-june-10-2026,30°C,14009929689976143526001061732424371434705619383177397771832848658327328063329,depth_imbalance_1,120,13961,1323,0.17477769205429355,0.6122448979591837,0.000817283950617284,0.0009746588693957119,0.9052360146121338,-7.048733748691075e-05
highest-temperature-in-jeddah-on-june-10-2026,30°C,14009929689976143526001061732424371434705619383177397771832848658327328063329,depth_imbalance_1,600,13878,2531,0.18966605548059318,0.6124061635717107,0.0008622580645161291,0.0009077471967380228,0.817625018014123,-0.00011374726714372791
highest-temperature-in-jeddah-on-june-10-2026,31°C,114343698991649712238864595628932195485089033816666247227955912686396204973352,depth_imbalance_1,30,13970,1035,0.07735469245129788,0.7294685990338164,0.0007218543046357617,0.0006517857142857143,0.9259126700071582,1.7740077070282586e-05
highest-temperature-in-jeddah-on-june-10-2026,31°C,114343698991649712238864595628932195485089033816666247227955912686396204973352,depth_imbalance_1,120,13895,1799,0.0641295293064,0.6553640911617565,0.0008129770992366412,0.0005572580645161291,0.8705289672544081,1.5354736627529318e-05
highest-temperature-in-jeddah-on-june-10-2026,31°C,114343698991649712238864595628932195485089033816666247227955912686396204973352,depth_imbalance_1,600,13672,4252,-0.1345627521519789,0.4550799623706491,0.0008000000000000001,0.0006212775140267588,0.6889994148624927,-0.00020590542073346352
highest-temperature-in-jeddah-on-june-10-2026,32°C,100275508806933640935915942228328536956852910734429628914578912877340736474614,depth_imbalance_1,30,13807,774,0.027964571032396465,0.5193798449612403,0.0006417910447761194,0.0005752688172043013,0.9439414789599478,6.544051293475205e-06
highest-temperature-in-jeddah-on-june-10-2026,32°C,100275508806933640935915942228328536956852910734429628914578912877340736474614,depth_imbalance_1,120,13758,1526,0.021337572199892955,0.45609436435124506,0.0009001436781609196,0.0005813253012048195,0.8890827155109754,7.229232386961082e-06
