event_slug,city,event_date,cohort,lifecycle_bucket,grid_rows,updates,trades,updates_per_minute,trades_per_minute,active_market_count,spread_median,spread_p90
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,clean,>24h,720,384728,62,534.3444444444444,0.08611111111111111,4.938888888888889,0.006,0.04000000000000001
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,1-6h,179,77332,368,432.0223463687151,2.0558659217877095,3.536312849162011,0.001,0.028999999999999998
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,6-24h,1080,685926,828,635.1166666666667,0.7666666666666667,4.453703703703703,0.007000000000000006,0.026000000000000002
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,>24h,720,436248,325,605.9,0.4513888888888889,4.769444444444445,0.010000000000000009,0.039999999999999994
highest-temperature-in-singapore-on-june-6-2026,Singapore,2026-06-06,degraded,>24h,246,40544,49,164.8130081300813,0.1991869918699187,4.6016260162601625,0.009999999999999995,0.02999999999999997
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,degraded,>24h,256,67148,27,262.296875,0.10546875,4.58203125,0.010000000000000009,0.040000000000000036
highest-temperature-in-mexico-city-on-june-6-2026,Mexico City,2026-06-06,degraded,>24h,266,84498,72,317.6616541353383,0.2706766917293233,5.109022556390977,0.010000000000000009,0.06
highest-temperature-in-munich-on-june-6-2026,Munich,2026-06-06,degraded,>24h,246,144869,130,588.8983739837398,0.5284552845528455,5.747967479674797,0.009000000000000001,0.02999999999999997
highest-temperature-in-toronto-on-june-7-2026,Toronto,2026-06-07,degraded,<1h,60,19754,4,329.23333333333335,0.06666666666666667,5.433333333333334,0.014000000000000002,0.03999999999999998
highest-temperature-in-toronto-on-june-7-2026,Toronto,2026-06-07,degraded,1-6h,300,96375,39,321.25,0.13,5.673333333333333,0.005,0.03
highest-temperature-in-toronto-on-june-7-2026,Toronto,2026-06-07,degraded,6-24h,419,168338,52,401.7613365155131,0.12410501193317422,4.682577565632458,0.003,0.027999999999999997
highest-temperature-in-chengdu-on-june-7-2026,Chengdu,2026-06-07,degraded,1-6h,204,16664,34,81.68627450980392,0.16666666666666666,3.9019607843137254,0.0010000000000000009,0.004
highest-temperature-in-chengdu-on-june-7-2026,Chengdu,2026-06-07,degraded,6-24h,419,392346,164,936.3866348448687,0.3914081145584726,4.4534606205250595,0.009999999999999995,0.039999999999999925
