event_slug,event_title,event_start,event_end,market_index,market_label,condition_id,asset_id,token_side,factor,factor_family,label_name,label_mode,horizon_value,count,raw_spearman,progress_neutral_spearman,nonzero_direction_hit,quantile_monotonicity_spearman,bottom_quantile_mean_return,top_quantile_mean_return,top_minus_bottom_mean_return,zero_return_share,positive_return_share,median_label_elapsed_seconds,p90_label_elapsed_seconds,source_time_inversion_count,source_delay_over_threshold_count
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,depth_imbalance_5,book,valid_obs_10,valid_observation_steps,10,7492,-0.0357701469586418,-0.0357701469586418,0.379746835443038,-0.19999999999999998,-3.370607028753995e-05,-0.017736607142857144,-0.017702901072569603,0.9789108382274426,0.0026695141484249867,40.155,132.49900000000005,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,microprice_minus_mid,book,valid_obs_10,valid_observation_steps,10,7492,-0.18977851970205603,-0.18977851970205603,0.34810126582278483,,-7.537334460411383e-06,-0.030493654822335025,-0.030486117487874612,0.9789108382274426,0.0026695141484249867,40.155,132.49900000000005,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,ofi_30s,flow_clock_sensitive,valid_obs_10,valid_observation_steps,10,7492,-0.09462617484422754,-0.09462617484422754,0.7088607594936709,,-0.001280387114239307,-0.025081730769230773,-0.023801343654991466,0.9789108382274426,0.0026695141484249867,40.155,132.49900000000005,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,trade_pressure_30s,flow_clock_sensitive,valid_obs_10,valid_observation_steps,10,7492,,,0.12658227848101267,,,,,0.9789108382274426,0.0026695141484249867,40.155,132.49900000000005,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,depth_imbalance_1,book,valid_obs_50,valid_observation_steps,50,7402,-0.7544031121236366,-0.7544031121236366,0.15789473684210525,,,,,0.9486625236422589,0.001215887597946501,261.691,586.799,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,depth_imbalance_3,book,valid_obs_50,valid_observation_steps,50,7402,-0.08856848785628514,-0.08856848785628514,0.29473684210526313,-0.19999999999999998,-0.0002908463308616722,-0.039792207792207795,-0.03950136146134613,0.9486625236422589,0.001215887597946501,261.691,586.799,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,depth_imbalance_5,book,valid_obs_50,valid_observation_steps,50,7402,-0.05351980271346248,-0.05351980271346248,0.35526315789473684,-0.19999999999999998,-0.0007236842105263158,-0.033752976190476194,-0.03302929197994988,0.9486625236422589,0.001215887597946501,261.691,586.799,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,microprice_minus_mid,book,valid_obs_50,valid_observation_steps,50,7402,-0.4326345575469329,-0.4326345575469329,0.2657894736842105,,-2.753995433789954e-05,-0.0647994923857868,-0.06477195243144891,0.9486625236422589,0.001215887597946501,261.691,586.799,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,ofi_30s,flow_clock_sensitive,valid_obs_50,valid_observation_steps,50,7402,-0.205974066896204,-0.205974066896204,0.7368421052631579,,-0.002337558235132913,-0.0833125,-0.08097494176486708,0.9486625236422589,0.001215887597946501,261.691,586.799,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,trade_pressure_30s,flow_clock_sensitive,valid_obs_50,valid_observation_steps,50,7402,,,0.02368421052631579,,,,,0.9486625236422589,0.001215887597946501,261.691,586.799,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,depth_imbalance_1,book,valid_obs_200,valid_observation_steps,200,7106,-0.9428149860043001,-0.9428149860043001,0.1026694045174538,,,,,0.9314663664508865,0.00028145229383619476,988.342,1734.044,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,depth_imbalance_3,book,valid_obs_200,valid_observation_steps,200,7106,-0.10477840239443213,-0.10477840239443213,0.20944558521560575,-0.39999999999999997,-0.0003885200553250346,-0.040917207792207796,-0.040528687736882764,0.9314663664508865,0.00028145229383619476,988.342,1734.044,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,depth_imbalance_5,book,valid_obs_200,valid_observation_steps,200,7106,-0.10850581220666755,-0.10850581220666755,0.25667351129363447,-0.39999999999999997,-0.0009615524781341108,-0.03474851190476191,-0.033786959426627794,0.9314663664508865,0.00028145229383619476,988.342,1734.044,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,microprice_minus_mid,book,valid_obs_200,valid_observation_steps,200,7106,-0.6437428881062444,-0.6437428881062444,0.1868583162217659,,-3.2330154946364716e-05,-0.06793527918781726,-0.0679029490328709,0.9314663664508865,0.00028145229383619476,988.342,1734.044,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,ofi_30s,flow_clock_sensitive,valid_obs_200,valid_observation_steps,200,7106,-0.1936100646776017,-0.1936100646776017,0.7987679671457906,,-0.0025422022279348758,-0.08829807692307692,-0.08575587469514205,0.9314663664508865,0.00028145229383619476,988.342,1734.044,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,0,18°C or below,0xc2e74183c15adfc561bdab466ce80efb6525b907ff36a1667452f14e7e607b73,82108548216968010072870699597305974161044963313995774427931182710031745067538,YES,trade_pressure_30s,flow_clock_sensitive,valid_obs_200,valid_observation_steps,200,7106,,,0.004106776180698152,,,,,0.9314663664508865,0.00028145229383619476,988.342,1734.044,4660,7169
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,1,19°C,0xe9270a0ad0e9215e2249b5573f8e1e40b39e76d19b45ded06aa4c0faeae9b9a8,74502948617169463266911772205376938956442075011044734712645525624423814463171,YES,depth_imbalance_1,book,wall_60s,wall_clock_seconds,60,10830,-0.041100748922711636,-0.041100748922711636,0.452,0.0,-9.563097693605848e-06,0.0,9.563097693605848e-06,0.976915974145891,0.0110803324099723,64.956,97.66040000000002,5720,8248
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,1,19°C,0xe9270a0ad0e9215e2249b5573f8e1e40b39e76d19b45ded06aa4c0faeae9b9a8,74502948617169463266911772205376938956442075011044734712645525624423814463171,YES,depth_imbalance_3,book,wall_60s,wall_clock_seconds,60,10830,-0.0704931583871478,-0.0704931583871478,0.228,0.0,-9.42521631644005e-06,-1.894135962636224e-05,-9.516143309922189e-06,0.976915974145891,0.0110803324099723,64.956,97.66040000000002,5720,8248
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,1,19°C,0xe9270a0ad0e9215e2249b5573f8e1e40b39e76d19b45ded06aa4c0faeae9b9a8,74502948617169463266911772205376938956442075011044734712645525624423814463171,YES,depth_imbalance_5,book,wall_60s,wall_clock_seconds,60,10830,0.0019353718932682861,0.0019353718932682861,0.56,0.39999999999999997,-9.050445103857566e-06,6.950880444856355e-07,9.745533148343201e-06,0.976915974145891,0.0110803324099723,64.956,97.66040000000002,5720,8248
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,1,19°C,0xe9270a0ad0e9215e2249b5573f8e1e40b39e76d19b45ded06aa4c0faeae9b9a8,74502948617169463266911772205376938956442075011044734712645525624423814463171,YES,microprice_minus_mid,book,wall_60s,wall_clock_seconds,60,10830,-0.03243360156352843,-0.03243360156352843,0.452,-0.316227766016838,-9.563097693605848e-06,-2.2861356932153393e-05,-1.3298259238547545e-05,0.976915974145891,0.0110803324099723,64.956,97.66040000000002,5720,8248
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,1,19°C,0xe9270a0ad0e9215e2249b5573f8e1e40b39e76d19b45ded06aa4c0faeae9b9a8,74502948617169463266911772205376938956442075011044734712645525624423814463171,YES,ofi_30s,flow_clock_sensitive,wall_60s,wall_clock_seconds,60,10830,0.12978514315534254,0.12978514315534254,0.608,,-9.084979500559075e-06,0.0,9.084979500559075e-06,0.976915974145891,0.0110803324099723,64.956,97.66040000000002,5720,8248
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,1,19°C,0xe9270a0ad0e9215e2249b5573f8e1e40b39e76d19b45ded06aa4c0faeae9b9a8,74502948617169463266911772205376938956442075011044734712645525624423814463171,YES,trade_pressure_30s,flow_clock_sensitive,wall_60s,wall_clock_seconds,60,10830,0.0003130259050222153,0.0003130259050222153,0.52,,,,,0.976915974145891,0.0110803324099723,64.956,97.66040000000002,5720,8248
highest-temperature-in-shanghai-on-june-9-2026,Highest temperature in Shanghai on June 9?,2026-06-07T04:34:03Z,2026-06-09T12:00:00Z,1,19°C,0xe9270a0ad0e9215e2249b5573f8e1e40b39e76d19b45ded06aa4c0faeae9b9a8,74502948617169463266911772205376938956442075011044734712645525624423814463171,YES,depth_imbalance_1,book,wall_300s,wall_clock_seconds,300,10704,-0.08129910919802087,-0.08129910919802087,0.38449612403100775,-0.5,-4.3877742358897424e-05,-4.9144679617280397e-05,-5.266937258382972e-06,0.9397421524663677,0.02335575485799701,308.661,342.932,5720,8248
