factor,factor_family,label_name,label_mode,horizon_value,event_count,token_metric_count,median_raw_spearman,median_progress_neutral_spearman,positive_token_share,median_nonzero_direction_hit,median_quantile_monotonicity_spearman,median_zero_return_share,median_label_elapsed_seconds,is_cross_event_candidate
depth_imbalance_1,book,wall_900s,wall_clock_seconds,900,2,22,0.08760504955102619,0.09962859815742642,0.9090909090909091,0.549367291849479,0.7,0.3650686806719027,902.187,False
depth_imbalance_3,book,wall_900s,wall_clock_seconds,900,2,22,0.08260975744305474,0.09293763189356813,0.7727272727272727,0.5345873341070908,0.49999999999999994,0.3650686806719027,902.187,False
microprice_minus_mid,book,wall_300s,wall_clock_seconds,300,2,22,0.09215443533015644,0.09181265444991346,0.8636363636363636,0.556996111631407,0.39999999999999997,0.5407943926229619,301.94849999999997,False
depth_imbalance_5,book,wall_900s,wall_clock_seconds,900,2,22,0.08403709975438875,0.08905039415993041,0.8636363636363636,0.5448034455976631,0.6,0.3650686806719027,902.187,False
microprice_minus_mid,book,wall_60s,wall_clock_seconds,60,2,22,0.10300938232020357,0.08495644131335818,0.9090909090909091,0.5832213324751763,0.6,0.7489402204938465,61.51575,False
depth_imbalance_5,book,wall_300s,wall_clock_seconds,300,2,22,0.06589704990757411,0.08295114077178534,0.7272727272727273,0.546531568906613,0.6,0.5407943926229619,301.94849999999997,False
depth_imbalance_3,book,wall_300s,wall_clock_seconds,300,2,22,0.07637812731934132,0.08254287193642472,0.7727272727272727,0.5439359615950028,0.6,0.5407943926229619,301.94849999999997,False
ofi_30s,flow_clock_sensitive,valid_obs_10,valid_observation_steps,10,2,22,0.03281003577262022,0.0825040708334357,0.5454545454545454,0.5287317799366781,0.7999999999999999,0.8753363390287731,12.2045,False
depth_imbalance_3,book,wall_60s,wall_clock_seconds,60,2,22,0.08322995885876391,0.08215709794116555,0.8181818181818182,0.555697245088026,0.7,0.7489402204938465,61.51575,False
microprice_minus_mid,book,wall_900s,wall_clock_seconds,900,2,22,0.044788646259757356,0.058244239731556596,0.7272727272727273,0.5322559061231669,0.3,0.3650686806719027,902.187,False
depth_imbalance_5,book,wall_60s,wall_clock_seconds,60,2,22,0.04407958644002024,0.04763747052437228,0.8181818181818182,0.5508773235195663,0.6499999999999999,0.7489402204938465,61.51575,False
ofi_30s,flow_clock_sensitive,wall_60s,wall_clock_seconds,60,2,22,0.04018464913016394,0.028568405125493836,0.5454545454545454,0.524850713141679,0.39999999999999997,0.7489402204938465,61.51575,False
trade_pressure_30s,flow_clock_sensitive,wall_300s,wall_clock_seconds,300,2,22,0.039002776765708694,0.024965906105850928,0.5909090909090909,0.4974841348174456,,0.5407943926229619,301.94849999999997,False
trade_pressure_30s,flow_clock_sensitive,wall_900s,wall_clock_seconds,900,2,22,0.011286462109282133,0.02398190677738938,0.6363636363636364,0.48840843802901546,,0.3650686806719027,902.187,False
ofi_30s,flow_clock_sensitive,valid_obs_200,valid_observation_steps,200,2,22,0.03681808962113636,0.021784568571769275,0.5454545454545454,0.5180750771353693,0.39999999999999997,0.538090535827901,314.724,False
ofi_30s,flow_clock_sensitive,wall_300s,wall_clock_seconds,300,2,22,0.033840650335277764,0.020300153097439776,0.6363636363636364,0.5100802945946437,0.15,0.5407943926229619,301.94849999999997,False
ofi_30s,flow_clock_sensitive,valid_obs_50,valid_observation_steps,50,2,22,0.03444678052690289,0.016279912722303194,0.5454545454545454,0.5184651994405922,0.39999999999999997,0.7453401219226052,73.7535,False
trade_pressure_30s,flow_clock_sensitive,wall_60s,wall_clock_seconds,60,2,22,0.03607719608880687,0.010950714563356239,0.5454545454545454,0.5258952746473486,,0.7489402204938465,61.51575,False
ofi_30s,flow_clock_sensitive,wall_900s,wall_clock_seconds,900,2,22,0.017956111723831877,0.010305945067068695,0.5454545454545454,0.5014078833611152,-0.09999999999999999,0.3650686806719027,902.187,False
trade_pressure_30s,flow_clock_sensitive,valid_obs_10,valid_observation_steps,10,2,22,0.020356256374584332,0.0008773814557537153,0.5,0.5125236116107073,,0.8753363390287731,12.2045,False
trade_pressure_30s,flow_clock_sensitive,valid_obs_200,valid_observation_steps,200,2,22,0.0445355213629352,-0.016940849621775736,0.4090909090909091,0.5155850272464146,,0.538090535827901,314.724,False
trade_pressure_30s,flow_clock_sensitive,valid_obs_50,valid_observation_steps,50,2,22,0.031226963800926818,-0.0718221651031436,0.4090909090909091,0.5010229324140754,,0.7453401219226052,73.7535,False
