event_slug,city,event_date,timestamp,snapshot,market_index,market_label,temperature_bin,raw_mid,normalized_probability
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-04 12:00:00+00:00,T-24,0.0,16°C or below,16.0,0.002,0.0020080321285140565
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-04 12:00:00+00:00,T-24,1.0,17°C,17.0,0.0065,0.006526104417670682
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-04 12:00:00+00:00,T-24,2.0,18°C,18.0,0.024,0.024096385542168676
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-04 12:00:00+00:00,T-24,3.0,19°C,19.0,0.14500000000000002,0.14558232931726908
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-04 12:00:00+00:00,T-24,4.0,20°C,20.0,0.22499999999999998,0.2259036144578313
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-04 12:00:00+00:00,T-24,5.0,21°C,21.0,0.36,0.3614457831325301
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-04 12:00:00+00:00,T-24,6.0,22°C,22.0,0.16999999999999998,0.17068273092369476
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-04 12:00:00+00:00,T-24,7.0,23°C,23.0,0.0435,0.04367469879518072
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-04 12:00:00+00:00,T-24,8.0,24°C,24.0,0.015,0.015060240963855422
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-04 12:00:00+00:00,T-24,9.0,25°C,25.0,0.003,0.0030120481927710845
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-04 12:00:00+00:00,T-24,10.0,26°C or higher,26.0,0.002,0.0020080321285140565
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-05 06:00:00+00:00,T-6,0.0,16°C or below,16.0,0.0015,0.001401869158878505
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-05 06:00:00+00:00,T-6,1.0,17°C,17.0,0.003,0.00280373831775701
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-05 06:00:00+00:00,T-6,2.0,18°C,18.0,0.005,0.004672897196261683
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-05 06:00:00+00:00,T-6,3.0,19°C,19.0,0.05500000000000001,0.05140186915887852
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-05 06:00:00+00:00,T-6,4.0,20°C,20.0,0.21000000000000002,0.1962616822429907
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-05 06:00:00+00:00,T-6,5.0,21°C,21.0,0.5,0.4672897196261683
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-05 06:00:00+00:00,T-6,6.0,22°C,22.0,0.24,0.22429906542056077
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-05 06:00:00+00:00,T-6,7.0,23°C,23.0,0.0445,0.04158878504672898
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-05 06:00:00+00:00,T-6,8.0,24°C,24.0,0.006500000000000001,0.006074766355140189
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-05 06:00:00+00:00,T-6,9.0,25°C,25.0,0.002,0.0018691588785046732
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-05 06:00:00+00:00,T-6,10.0,26°C or higher,26.0,0.0025,0.0023364485981308414
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-05 08:58:00+00:00,T-1,0.0,16°C or below,16.0,0.0015,0.001425855513307985
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-05 08:58:00+00:00,T-1,1.0,17°C,17.0,0.003,0.00285171102661597
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-05 08:58:00+00:00,T-1,2.0,18°C,18.0,0.0035,0.003326996197718632
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-05 08:58:00+00:00,T-1,3.0,19°C,19.0,0.0305,0.028992395437262362
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-05 08:58:00+00:00,T-1,4.0,20°C,20.0,0.245,0.23288973384030423
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-05 08:58:00+00:00,T-1,5.0,21°C,21.0,0.515,0.48954372623574155
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-05 08:58:00+00:00,T-1,6.0,22°C,22.0,0.2,0.19011406844106468
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-05 08:58:00+00:00,T-1,7.0,23°C,23.0,0.045,0.04277566539923955
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-05 08:58:00+00:00,T-1,8.0,24°C,24.0,0.005,0.004752851711026617
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-05 08:58:00+00:00,T-1,9.0,25°C,25.0,0.0015,0.001425855513307985
highest-temperature-in-sao-paulo-on-june-5-2026,Sao Paulo,2026-06-05,2026-06-05 08:58:00+00:00,T-1,10.0,26°C or higher,26.0,0.002,0.0019011406844106468
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-04 12:00:00+00:00,T-24,0.0,26°C or below,26.0,0.0015,0.001515151515151515
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-04 12:00:00+00:00,T-24,1.0,27°C,27.0,0.0015,0.001515151515151515
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-04 12:00:00+00:00,T-24,2.0,28°C,28.0,0.0015,0.001515151515151515
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-04 12:00:00+00:00,T-24,3.0,29°C,29.0,0.004,0.00404040404040404
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-04 12:00:00+00:00,T-24,4.0,30°C,30.0,0.004,0.00404040404040404
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-04 12:00:00+00:00,T-24,5.0,31°C,31.0,0.02,0.0202020202020202
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-04 12:00:00+00:00,T-24,6.0,32°C,32.0,0.0475,0.047979797979797977
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-04 12:00:00+00:00,T-24,7.0,33°C,33.0,0.31,0.3131313131313131
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-04 12:00:00+00:00,T-24,8.0,34°C,34.0,0.44,0.4444444444444444
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-04 12:00:00+00:00,T-24,9.0,35°C,35.0,0.13,0.1313131313131313
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-04 12:00:00+00:00,T-24,10.0,36°C or higher,36.0,0.030000000000000002,0.030303030303030304
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-05 06:00:00+00:00,T-6,0.0,26°C or below,26.0,0.0025,0.0020929259104227713
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-05 06:00:00+00:00,T-6,1.0,27°C,27.0,0.0015,0.0012557555462536629
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-05 06:00:00+00:00,T-6,2.0,28°C,28.0,0.0015,0.0012557555462536629
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-05 06:00:00+00:00,T-6,3.0,29°C,29.0,0.0015,0.0012557555462536629
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-05 06:00:00+00:00,T-6,4.0,30°C,30.0,0.0015,0.0012557555462536629
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-05 06:00:00+00:00,T-6,5.0,31°C,31.0,0.0015,0.0012557555462536629
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-05 06:00:00+00:00,T-6,6.0,32°C,32.0,0.2375,0.19882796149016327
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-05 06:00:00+00:00,T-6,7.0,33°C,33.0,0.6,0.5023022185014651
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-05 06:00:00+00:00,T-6,8.0,34°C,34.0,0.24000000000000002,0.20092088740058606
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-05 06:00:00+00:00,T-6,9.0,35°C,35.0,0.1,0.08371703641691085
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-05 06:00:00+00:00,T-6,10.0,36°C or higher,36.0,0.007,0.005860192549183759
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-05 08:58:00+00:00,T-1,0.0,26°C or below,26.0,0.0025,0.0024449877750611256
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-05 08:58:00+00:00,T-1,1.0,27°C,27.0,0.0015,0.0014669926650366751
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-05 08:58:00+00:00,T-1,2.0,28°C,28.0,0.0015,0.0014669926650366751
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-05 08:58:00+00:00,T-1,3.0,29°C,29.0,0.0015,0.0014669926650366751
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-05 08:58:00+00:00,T-1,4.0,30°C,30.0,0.0015,0.0014669926650366751
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-05 08:58:00+00:00,T-1,5.0,31°C,31.0,0.0015,0.0014669926650366751
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-05 08:58:00+00:00,T-1,6.0,32°C,32.0,0.9410000000000001,0.9202933985330076
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-05 08:58:00+00:00,T-1,7.0,33°C,33.0,0.065,0.06356968215158926
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-05 08:58:00+00:00,T-1,8.0,34°C,34.0,0.0025,0.0024449877750611256
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-05 08:58:00+00:00,T-1,9.0,35°C,35.0,0.0025,0.0024449877750611256
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,2026-06-05 08:58:00+00:00,T-1,10.0,36°C or higher,36.0,0.0015,0.0014669926650366751
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,2026-06-04 12:00:00+00:00,T-24,4.0,30°C,30.0,0.003,0.00390625
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,2026-06-04 12:00:00+00:00,T-24,5.0,31°C,31.0,0.0085,0.011067708333333334
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,2026-06-04 12:00:00+00:00,T-24,6.0,32°C,32.0,0.0415,0.054036458333333336
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,2026-06-04 12:00:00+00:00,T-24,7.0,33°C,33.0,0.16999999999999998,0.22135416666666663
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,2026-06-04 12:00:00+00:00,T-24,8.0,34°C,34.0,0.44,0.5729166666666666
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,2026-06-04 12:00:00+00:00,T-24,10.0,36°C or higher,36.0,0.105,0.13671875
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,2026-06-05 06:00:00+00:00,T-6,3.0,29°C,29.0,0.0015,0.0032537960954446858
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,2026-06-05 06:00:00+00:00,T-6,4.0,30°C,30.0,0.002,0.004338394793926247
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,2026-06-05 06:00:00+00:00,T-6,5.0,31°C,31.0,0.0015,0.0032537960954446858
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,2026-06-05 06:00:00+00:00,T-6,6.0,32°C,32.0,0.0015,0.0032537960954446858
