event_slug,city,event_date,cohort,timestamp,lifecycle_bucket,expected_outcomes,observable_outcomes,valid_outcomes,complete_outcomes,sum_mid,sum_deviation,max_bbo_age_seconds,median_bbo_age_seconds,max_spread,median_spread,outcome_source_span_seconds,event_has_tick_size_conflict,sum_best_bid,sum_best_ask
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 17:38:00+00:00,6-24h,11,7,7,False,0.7945,-0.20550000000000002,15294.267,3.018,0.010000000000000009,0.008,15294.196,True,0.773,0.816
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 17:41:00+00:00,6-24h,11,7,7,False,0.7945,-0.20550000000000002,15474.267,21.679,0.010000000000000009,0.008,15474.229,True,0.773,0.816
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 17:40:00+00:00,6-24h,11,7,7,False,0.7945,-0.20550000000000002,15414.267,0.466,0.010000000000000009,0.008,15414.031,True,0.773,0.816
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 17:39:00+00:00,6-24h,11,7,7,False,0.7945,-0.20550000000000002,15354.267,35.135,0.010000000000000009,0.008,15340.259,True,0.773,0.816
highest-temperature-in-austin-on-june-11-2026,Austin,2026-06-11,degraded,2026-06-10 02:03:00+00:00,>24h,11,11,11,True,1.2054999999999996,0.20549999999999957,12.974,8.865,0.14,0.06999999999999999,4.195,False,0.8240000000000001,1.5870000000000002
highest-temperature-in-chicago-on-june-9-2026,Chicago,2026-06-09,clean,2026-06-08 01:28:00+00:00,>24h,11,11,4,False,1.205,0.20500000000000007,29.111,14.296,0.69,0.505,21.744,False,0.22,2.19
highest-temperature-in-manila-on-june-11-2026,Manila,2026-06-11,degraded,2026-06-09 04:50:00+00:00,>24h,11,11,11,True,1.205,0.20500000000000007,13.755,12.327,0.22999999999999998,0.11000000000000001,8.699,False,0.665,1.7449999999999999
highest-temperature-in-chongqing-on-june-6-2026,Chongqing,2026-06-06,degraded,2026-06-05 04:53:00+00:00,>24h,11,11,8,False,1.205,0.20500000000000007,22.451,8.0625,0.30000000000000004,0.05,14.571,False,0.8799999999999999,1.53
highest-temperature-in-ankara-on-june-11-2026,Ankara,2026-06-11,degraded,2026-06-09 05:26:00+00:00,>24h,11,11,3,False,1.205,0.20500000000000007,8.566,8.504,0.51,0.48,0.118,False,0.47000000000000003,1.94
highest-temperature-in-manila-on-june-11-2026,Manila,2026-06-11,degraded,2026-06-09 04:48:00+00:00,>24h,11,11,11,True,1.2049999999999998,0.20499999999999985,30.749,1.01,0.22999999999999998,0.11000000000000001,29.739,False,0.655,1.755
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 10:37:00+00:00,>24h,11,7,6,False,0.7954999999999999,-0.20450000000000013,6.877,0.5175000000000001,0.15,0.041,6.668,True,0.6229999999999999,0.968
highest-temperature-in-moscow-on-june-4-2026,Moscow,2026-06-04,clean,2026-06-04 11:54:00+00:00,<1h,11,11,11,True,1.2045,0.2044999999999999,36184.016,11969.137,0.38,0.002,36184.003,False,0.897,1.5119999999999998
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-09 07:56:00+00:00,>24h,11,10,10,False,0.7959999999999999,-0.20400000000000007,21.418,3.8019999999999996,0.030000000000000027,0.006500000000000001,21.11,True,0.7410000000000001,0.8510000000000001
highest-temperature-in-kuala-lumpur-on-june-5-2026,Kuala Lumpur,2026-06-05,clean,2026-06-05 07:20:00+00:00,1-6h,11,11,11,True,0.7964999999999999,-0.20350000000000013,74769.429,9198.25,0.18,0.003,74769.418,False,0.583,1.01
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 18:43:00+00:00,6-24h,11,7,7,False,0.7965,-0.20350000000000001,19194.267,2.511,0.020000000000000004,0.002,19193.513,True,0.774,0.819
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 19:44:00+00:00,6-24h,11,7,7,False,0.7965,-0.20350000000000001,22854.267,16.453,0.020000000000000004,0.006999999999999999,22854.256,True,0.7709999999999999,0.822
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 19:51:00+00:00,6-24h,11,7,7,False,0.7965,-0.20350000000000001,23274.267,21.76,0.030000000000000027,0.006999999999999999,23273.17,True,0.7609999999999999,0.832
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 18:45:00+00:00,6-24h,11,7,7,False,0.7965,-0.20350000000000001,19314.267,8.424,0.020000000000000004,0.002,19312.682,True,0.774,0.819
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 18:44:00+00:00,6-24h,11,7,7,False,0.7965,-0.20350000000000001,19254.267,0.871,0.020000000000000004,0.002,19253.528,True,0.774,0.819
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 18:46:00+00:00,6-24h,11,7,7,False,0.7965,-0.20350000000000001,19374.267,8.234,0.020000000000000004,0.002,19374.239,True,0.774,0.819
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 19:37:00+00:00,6-24h,11,7,7,False,0.7965,-0.20350000000000001,22434.267,8.061,0.020000000000000018,0.006999999999999999,22431.947,True,0.761,0.8320000000000001
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 19:40:00+00:00,6-24h,11,7,7,False,0.7965,-0.20350000000000001,22614.267,12.47,0.020000000000000018,0.006999999999999999,22608.525,True,0.761,0.8320000000000001
highest-temperature-in-hong-kong-on-june-5-2026,Hong Kong,2026-06-05,clean,2026-06-04 19:50:00+00:00,6-24h,11,7,7,False,0.7965,-0.20350000000000001,23214.267,12.555,0.030000000000000027,0.006999999999999999,23211.547,True,0.7609999999999999,0.832
