event_slug,city,event_date,cohort,timestamp,lifecycle_bucket,sum_mid,sum_deviation,implied_temperature,distribution_variance,distribution_width,entropy,top3_probability_mass,active_market_count,valid_market_count,updates,trades,spread_median,spread_p90,probability_mass_flow,pressure_factor,future_mean_move,future_entropy_change
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 09:51:00+00:00,>24h,1.0065,0.00649999999999995,27.454545454545453,2.6364087973625976,1.6237021886302296,1.7687981185802206,0.7501241927471436,5,10,176,0,0.010000000000000009,0.05890000000000001,0.018041598504321854,-0.47409359010041247,-0.024178435943142063,-0.0251925584749928
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 09:52:00+00:00,>24h,1.002,0.0020000000000000018,27.428642714570863,2.6201576388141876,1.6186900996837497,1.7532107245511763,0.7634730538922155,5,10,368,0,0.020000000000000018,0.058,0.02590273997459036,-0.473482208007786,0.0016542154744279003,-0.0110363722510749
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 09:53:00+00:00,>24h,0.9945,-0.005499999999999949,27.43036701860231,2.5820039376955357,1.6068615178961552,1.7436055601052278,0.7692307692307692,5,10,259,0,0.020000000000000018,0.059000000000000004,0.0017243040314482982,-0.44802090942765116,0.015817923287531954,-0.005163702424858974
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 09:54:00+00:00,>24h,0.9935,-0.00649999999999995,27.43029693004529,2.572267803125955,1.6038291065839763,1.7421743523001014,0.7700050327126321,5,10,205,0,0.020000000000000018,0.0599,7.008855702039796e-05,-0.27665867833727237,0.01684520450200111,-0.005136913285261002
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 09:55:00+00:00,>24h,0.9895,-0.010499999999999954,27.446184941889843,2.5482661426534956,1.5963289581579028,1.7384418576803689,0.7731177362304194,5,10,324,0,0.020000000000000018,0.059000000000000004,0.015888011844552352,-0.3037502046733924,-0.030144841639220488,0.011372067559590304
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 09:56:00+00:00,>24h,0.9885,-0.011499999999999955,27.447142134547292,2.544626379898934,1.5951885092047693,1.7370374390148404,0.7738998482549316,5,10,287,0,0.020000000000000018,0.05790000000000001,0.0009571926574487577,-0.4901635579234714,0.01381882641367227,0.008599440473413988
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 09:57:00+00:00,>24h,0.9975,-0.0024999999999999467,27.416040100250623,2.627913141249113,1.6210839402230572,1.7498139252399592,0.7669172932330827,5,10,220,0,0.020000000000000018,0.05790000000000001,0.031102034296669245,-0.39946555756053537,0.028460150879460855,-0.0056832076705359835
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 09:58:00+00:00,>24h,0.999,-0.0010000000000000009,27.460960960960964,2.5477752527302076,1.5961751948737355,1.7456368794882544,0.7657657657657657,5,10,257,0,0.020000000000000018,0.0664,0.044920860710341515,-0.32915964762514077,-0.01910049584468254,-0.00781417890389835
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 09:59:00+00:00,>24h,0.9955,-0.0044999999999999485,27.444500251130084,2.562339165117968,1.6007308221927783,1.7441307175694232,0.7684580612757408,5,10,361,0,0.020000000000000018,0.0674,0.01646070983088066,-0.2514093276205881,-0.028460150879460855,0.0056832076705359835
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:00:00+00:00,>24h,0.9890000000000001,-0.010999999999999899,27.44186046511628,2.5489453758788536,1.5965416924962699,1.737822700584356,0.7735085945399394,5,10,312,0,0.020000000000000018,0.058800000000000005,0.0026397860138018814,-0.34560000664552754,-0.020197996602437485,0.015199795704315733
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:01:00+00:00,>24h,0.9975,-0.0024999999999999467,27.416040100250623,2.627913141249113,1.6210839402230572,1.7498139252399592,0.7669172932330827,5,10,804,0,0.020000000000000018,0.05970000000000001,0.025820364865658973,-0.40493750112010174,0.003737901767539853,0.0010881191473259832
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:02:00+00:00,>24h,0.9924999999999999,-0.007500000000000062,27.421662468513844,2.6408405611354677,1.6250663251496746,1.7530224962886718,0.7657430730478589,5,10,465,0,0.015000000000000013,0.058800000000000005,0.005622368263221489,-0.42025186883398535,0.024711382354389855,-0.008923172522046885
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:03:00+00:00,>24h,0.9909999999999999,-0.009000000000000119,27.419778002018163,2.626006408840004,1.620495729349511,1.7509020443872851,0.7669021190716447,5,10,206,0,0.015000000000000013,0.058800000000000005,0.001884466495681636,-0.22774660884504908,0.025621391308433772,-0.013098544892667263
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:04:00+00:00,>24h,0.9790000000000001,-0.020999999999999908,27.446373850868234,2.5729669327585114,1.6040470481748692,1.744099323766625,0.7711950970377937,5,10,205,0,0.010000000000000009,0.058800000000000005,0.02659584885007149,-0.28466007902388113,-0.0009744575416377188,-0.006295824272007033
highest-temperature-in-qingdao-on-june-10-2026,Qingdao,2026-06-10,clean,2026-06-08 10:05:00+00:00,>24h,0.989,-0.01100000000000001,27.445399393326596,2.5493443551462445,1.5966666387027206,1.7378034994946179,0.7735085945399394,5,10,985,0,0.020000000000000018,0.05790000000000001,0.0009744575416377188,-0.40232218078482435,0.0,0.0
