event_slug,market_label,token_id,factor,horizon_seconds,valid_rows,nonzero_rows,spearman_ic,nonzero_hit_rate,average_win_move,average_loss_move,zero_return_share,top_minus_bottom
highest-temperature-in-denver-on-june-4-2026,62-63°F,92967436409374632255014102595489238712067336077773128823043291588930476995043,depth_imbalance_1,120,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,62-63°F,92967436409374632255014102595489238712067336077773128823043291588930476995043,depth_imbalance_1,600,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,64-65°F,80580316999955079104861661762276174747883922249282767397159978829548015898058,depth_imbalance_1,30,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,64-65°F,80580316999955079104861661762276174747883922249282767397159978829548015898058,depth_imbalance_1,120,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,64-65°F,80580316999955079104861661762276174747883922249282767397159978829548015898058,depth_imbalance_1,600,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,66-67°F,108490177558359600172282351898229663602342658149320724485056967465216784862265,depth_imbalance_1,30,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,66-67°F,108490177558359600172282351898229663602342658149320724485056967465216784862265,depth_imbalance_1,120,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,66-67°F,108490177558359600172282351898229663602342658149320724485056967465216784862265,depth_imbalance_1,600,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,68-69°F,81951112064689684457941387134844855126497490357489025762580903862354902470039,depth_imbalance_1,30,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,68-69°F,81951112064689684457941387134844855126497490357489025762580903862354902470039,depth_imbalance_1,120,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,68-69°F,81951112064689684457941387134844855126497490357489025762580903862354902470039,depth_imbalance_1,600,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,70-71°F,10457726199119293482767218326685640416398450220490084907714118724956506860936,depth_imbalance_1,30,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,70-71°F,10457726199119293482767218326685640416398450220490084907714118724956506860936,depth_imbalance_1,120,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,70-71°F,10457726199119293482767218326685640416398450220490084907714118724956506860936,depth_imbalance_1,600,0,0,,,,,,
highest-temperature-in-denver-on-june-4-2026,72-73°F,66026373643966413408893372447538284483809822899059397871905776842143463771142,depth_imbalance_1,30,6495,30,0.0981847166545032,1.0,0.0005000000000000001,,0.9953810623556582,1.9161694529172734e-05
highest-temperature-in-denver-on-june-4-2026,72-73°F,66026373643966413408893372447538284483809822899059397871905776842143463771142,depth_imbalance_1,120,6457,95,0.1725073887656413,1.0,0.0005000000000000001,,0.9852872851169273,6.592205103656206e-05
highest-temperature-in-denver-on-june-4-2026,72-73°F,66026373643966413408893372447538284483809822899059397871905776842143463771142,depth_imbalance_1,600,6281,159,0.22168168312732206,1.0,0.0005000000000000001,,0.9746855596242636,8.493586046189695e-05
highest-temperature-in-denver-on-june-4-2026,74°F or higher,32015830028575342957885992341866035460501491395605997032389881918590585928386,depth_imbalance_1,30,74,8,0.541871121560874,1.0,0.0010000000000000009,,0.8918918918918919,0.0003809523809523813
highest-temperature-in-denver-on-june-4-2026,74°F or higher,32015830028575342957885992341866035460501491395605997032389881918590585928386,depth_imbalance_1,120,76,8,0.5353741123983146,1.0,0.0010000000000000009,,0.8947368421052632,0.00040000000000000034
highest-temperature-in-denver-on-june-4-2026,74°F or higher,32015830028575342957885992341866035460501491395605997032389881918590585928386,depth_imbalance_1,600,44,11,0.7251980859675242,1.0,0.0010000000000000009,,0.75,0.0010129870129870137
highest-temperature-in-lucknow-on-june-4-2026,39°C or below,42009688133614185387695789794210426525546817569721105680895031752746023105300,depth_imbalance_1,30,48018,21697,0.09123252070060682,0.5816011430151634,0.002542990728266895,0.0026373099801718417,0.5305510433587405,0.0005986506696279577
highest-temperature-in-lucknow-on-june-4-2026,39°C or below,42009688133614185387695789794210426525546817569721105680895031752746023105300,depth_imbalance_1,120,47986,28581,0.13029092001124726,0.6007837374479549,0.00404018403121542,0.0038855828220858905,0.3740049181011128,0.001518503358182019
highest-temperature-in-lucknow-on-june-4-2026,39°C or below,42009688133614185387695789794210426525546817569721105680895031752746023105300,depth_imbalance_1,600,48148,40548,0.08557880035730445,0.5853556278978002,0.007287992416262896,0.006476595491583903,0.1236811497881532,0.0033280800350235676
highest-temperature-in-lucknow-on-june-4-2026,40°C,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,30,55934,17717,0.01735032257158462,0.5675340068860416,0.002399204375932372,0.003505024797702949,0.6734186720062931,-0.0005370539451782404
highest-temperature-in-lucknow-on-june-4-2026,40°C,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,120,55933,24836,0.014552013038752597,0.5695361571911741,0.0032786143513609052,0.005324899448133942,0.542130763592155,-0.0016616047644925627
highest-temperature-in-lucknow-on-june-4-2026,40°C,50979775152070414665786220645899721020850466999824432483503660264897453494116,depth_imbalance_1,600,55907,38520,-0.1812189874830578,0.5091121495327103,0.0064565040028555405,0.00816642868475329,0.29651027599406155,-0.004871688449641375
highest-temperature-in-lucknow-on-june-4-2026,41°C,22394027680532528836110218429073651943854919776913403058361348132996048783175,depth_imbalance_1,30,32398,5073,0.15871106397462398,0.5123201261580919,0.00310638707195075,0.0033369037995149555,0.8402987838755479,0.00038967078212463454
highest-temperature-in-lucknow-on-june-4-2026,41°C,22394027680532528836110218429073651943854919776913403058361348132996048783175,depth_imbalance_1,120,32384,7047,0.20720663140600679,0.49226621257272596,0.0034828480830210434,0.005044717719396311,0.7781929347826086,0.00047560608491145715
highest-temperature-in-lucknow-on-june-4-2026,41°C,22394027680532528836110218429073651943854919776913403058361348132996048783175,depth_imbalance_1,600,32336,10596,0.18912378987346823,0.49490373725934317,0.006687356979405035,0.008732903587443944,0.6681098466105888,0.0022009214986008193
highest-temperature-in-lucknow-on-june-4-2026,42°C,27961723940611836254412250085777271604886033979190384822939494734784195369248,depth_imbalance_1,30,0,0,,,,,,
highest-temperature-in-lucknow-on-june-4-2026,42°C,27961723940611836254412250085777271604886033979190384822939494734784195369248,depth_imbalance_1,120,0,0,,,,,,
highest-temperature-in-lucknow-on-june-4-2026,42°C,27961723940611836254412250085777271604886033979190384822939494734784195369248,depth_imbalance_1,600,0,0,,,,,,
highest-temperature-in-lucknow-on-june-4-2026,43°C,93869090559776132159324020239366425795233512885969162777743029231089612934170,depth_imbalance_1,30,0,0,,,,,,
highest-temperature-in-lucknow-on-june-4-2026,43°C,93869090559776132159324020239366425795233512885969162777743029231089612934170,depth_imbalance_1,120,0,0,,,,,,
highest-temperature-in-lucknow-on-june-4-2026,43°C,93869090559776132159324020239366425795233512885969162777743029231089612934170,depth_imbalance_1,600,0,0,,,,,,
highest-temperature-in-lucknow-on-june-4-2026,44°C,96478249405510232239630815198335618821015966998870906427775953709992707900440,depth_imbalance_1,30,0,0,,,,,,
highest-temperature-in-lucknow-on-june-4-2026,44°C,96478249405510232239630815198335618821015966998870906427775953709992707900440,depth_imbalance_1,120,0,0,,,,,,
highest-temperature-in-lucknow-on-june-4-2026,44°C,96478249405510232239630815198335618821015966998870906427775953709992707900440,depth_imbalance_1,600,0,0,,,,,,
highest-temperature-in-lucknow-on-june-4-2026,45°C,104213888987781119629066705348360723500526448976459641841095092699020053833158,depth_imbalance_1,30,0,0,,,,,,
highest-temperature-in-lucknow-on-june-4-2026,45°C,104213888987781119629066705348360723500526448976459641841095092699020053833158,depth_imbalance_1,120,0,0,,,,,,
highest-temperature-in-lucknow-on-june-4-2026,45°C,104213888987781119629066705348360723500526448976459641841095092699020053833158,depth_imbalance_1,600,0,0,,,,,,
highest-temperature-in-lucknow-on-june-4-2026,46°C,90766225207290685078397313631412612775503882825345609986695635426448037845234,depth_imbalance_1,30,0,0,,,,,,
highest-temperature-in-lucknow-on-june-4-2026,46°C,90766225207290685078397313631412612775503882825345609986695635426448037845234,depth_imbalance_1,120,0,0,,,,,,
highest-temperature-in-lucknow-on-june-4-2026,46°C,90766225207290685078397313631412612775503882825345609986695635426448037845234,depth_imbalance_1,600,0,0,,,,,,
highest-temperature-in-lucknow-on-june-4-2026,47°C,10873691059370165894122655440775354293450330292599625388593816466670695257282,depth_imbalance_1,30,0,0,,,,,,
highest-temperature-in-lucknow-on-june-4-2026,47°C,10873691059370165894122655440775354293450330292599625388593816466670695257282,depth_imbalance_1,120,0,0,,,,,,
highest-temperature-in-lucknow-on-june-4-2026,47°C,10873691059370165894122655440775354293450330292599625388593816466670695257282,depth_imbalance_1,600,0,0,,,,,,
highest-temperature-in-lucknow-on-june-4-2026,48°C,4453459991797680982401714414006360788816365982699643304663513382811323611565,depth_imbalance_1,30,0,0,,,,,,
highest-temperature-in-lucknow-on-june-4-2026,48°C,4453459991797680982401714414006360788816365982699643304663513382811323611565,depth_imbalance_1,120,0,0,,,,,,
highest-temperature-in-lucknow-on-june-4-2026,48°C,4453459991797680982401714414006360788816365982699643304663513382811323611565,depth_imbalance_1,600,0,0,,,,,,
highest-temperature-in-lucknow-on-june-4-2026,49°C or higher,1936297804499229226745699644871412770078423556225852345417900409504171418495,depth_imbalance_1,30,0,0,,,,,,
highest-temperature-in-lucknow-on-june-4-2026,49°C or higher,1936297804499229226745699644871412770078423556225852345417900409504171418495,depth_imbalance_1,120,0,0,,,,,,
