event_slug,city,event_date,cohort,sample_activity,token_id,factor,horizon_seconds,lifecycle_bucket,rows,valid_rows,coverage,zero_rate,ic,crossing_markout
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,depth_imbalance_1,30,all,25207,25161,0.9981751100884676,0.9106553793569412,0.0027399329539146,-0.0033120826709062
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,depth_imbalance_1,30,6-24h,16713,16667,0.99724765152875,0.9722805543889124,-0.0420013243584512,-0.0009411711765764
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,depth_imbalance_1,30,>24h,8494,8494,1.0,0.7897339298328232,0.0519820888910678,-0.0079648534086895
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,depth_imbalance_1,60,all,25207,25103,0.995874161939144,0.871608971039318,0.0048822033702726,-0.0033289379332324
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,depth_imbalance_1,60,6-24h,16713,16609,0.9937772991084785,0.9624902161478716,-0.0885282845543864,-0.0009741706303811
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,depth_imbalance_1,60,>24h,8494,8494,1.0,0.693901577584177,0.0643682796394156,-0.0079339456022606
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,depth_imbalance_1,120,all,25207,24978,0.9909152219621534,0.8295700216190247,0.035740678551228,-0.0033514633462785
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,depth_imbalance_1,120,6-24h,16713,16484,0.9862980913061687,0.9519534093666586,-0.0823579712680011,-0.001022324678476
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,depth_imbalance_1,120,>24h,8494,8494,1.0,0.5920649870496821,0.1061179833564914,-0.0078720711173907
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,depth_imbalance_1,300,all,25207,24686,0.9793311381759036,0.8060034027383942,0.019612223802756,-0.0035091553575045
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,depth_imbalance_1,300,6-24h,16713,16192,0.9688266618799736,0.9259510869565216,-0.1431806122111147,-0.0011216650197628
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,depth_imbalance_1,300,>24h,8494,8494,1.0,0.5773487167412291,0.1048238158136983,-0.0080609325326739
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,depth_imbalance_1,600,all,25207,24583,0.9752449716348632,0.754017003620388,0.0865281466561753,-0.0037303718167765
highest-temperature-in-busan-on-june-6-2026,Busan,2026-06-06,clean,low,103340811079680109104163214421891175852528773825726489725745707860192402990251,depth_imbalance_1,600,6-24h,16713,16089,0.9626637946508706,0.9366026477717696,-0.0268611193744996,-0.0011515321026788
