event_slug,city,event_date,cohort,factor,horizon_seconds,lifecycle_bucket,ic,zero_rate,crossing_markout,coverage,tokens
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,depth_imbalance_1,30,>24h,0.08560489997594921,0.8800372407579566,-0.006171967669044227,0.9996519997854086,11
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,depth_imbalance_1,30,all,0.07504249738921749,0.8656850680602208,-0.006539909626683,0.9993902742351618,11
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,depth_imbalance_1,60,1-6h,0.004465791820745649,0.8247422680412371,-0.0026052673969072003,0.3791049508538298,4
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,depth_imbalance_1,60,6-24h,0.06339713476199227,0.7920697283270559,-0.00782811862715889,0.9979613408821666,9
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,depth_imbalance_1,60,>24h,0.09024146641263343,0.853272698824978,-0.006131299099398982,0.9995617841104919,11
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,depth_imbalance_1,60,all,0.07886073954650946,0.8390714051346246,-0.006514184719791745,0.999215050534212,11
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,depth_imbalance_1,120,1-6h,0.0652054089018227,0.7483086340206185,-0.0025670505798969,0.3791049508538298,4
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,depth_imbalance_1,120,6-24h,0.07227560279434996,0.7478436361751153,-0.00788780877373401,0.9967838708960269,9
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,depth_imbalance_1,120,>24h,0.10376873856531295,0.816256725586702,-0.0060723737687647,0.999162716069194,11
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,depth_imbalance_1,120,all,0.09089864902004628,0.8022240974709671,-0.006492602558007509,0.9986079757365469,11
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,depth_imbalance_1,300,1-6h,0.1418048815531087,0.6287328490718321,-0.0025537732041969,0.3575214023644517,4
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,depth_imbalance_1,300,6-24h,0.05559260579984857,0.6698896020982816,-0.009239485318200267,0.992729097966516,9
highest-temperature-in-ankara-on-june-10-2026,Ankara,2026-06-10,clean,depth_imbalance_1,300,>24h,0.11101069769471784,0.7492942121849843,-0.005931385463646927,0.9989667840066584,11
