event_slug,city,event_date,cohort,timestamp,lifecycle_bucket,expected_outcomes,observable_outcomes,valid_outcomes,complete_outcomes,sum_mid,sum_deviation,max_bbo_age_seconds,median_bbo_age_seconds,max_spread,median_spread,outcome_source_span_seconds,event_has_tick_size_conflict,sum_best_bid,sum_best_ask
highest-temperature-in-kuala-lumpur-on-june-9-2026,Kuala Lumpur,2026-06-09,clean,2026-06-07 05:29:00+00:00,>24h,11,11,11,True,1.1475,0.14749999999999996,49.844,24.993,0.29,0.15,48.566,False,0.42600000000000005,1.869
highest-temperature-in-taipei-on-june-7-2026,Taipei,2026-06-07,degraded,2026-06-06 06:53:00+00:00,>24h,11,11,11,True,1.1475,0.14749999999999996,21.499,16.99,0.06999999999999998,0.020000000000000004,21.288,False,0.9930000000000001,1.302
highest-temperature-in-seoul-on-june-10-2026,Seoul,2026-06-10,clean,2026-06-08 04:32:00+00:00,>24h,11,11,11,True,1.1475,0.14749999999999996,227.122,3.403,0.07,0.03,224.235,False,0.976,1.319
highest-temperature-in-chengdu-on-june-10-2026,Chengdu,2026-06-10,clean,2026-06-08 15:30:00+00:00,>24h,11,11,11,True,1.1475,0.14749999999999996,2.73,1.452,0.09999999999999998,0.011,2.02,False,0.981,1.314
highest-temperature-in-paris-on-june-10-2026,Paris,2026-06-10,clean,2026-06-08 05:54:00+00:00,>24h,11,11,11,True,1.1475,0.14749999999999996,2.094,0.313,0.12,0.060000000000000005,1.9100000000000001,False,0.808,1.487
highest-temperature-in-kuala-lumpur-on-june-9-2026,Kuala Lumpur,2026-06-09,clean,2026-06-07 05:40:00+00:00,>24h,11,11,11,True,0.8525000000000001,-0.14749999999999985,1.898,0.314,0.11000000000000001,0.06999999999999999,1.774,False,0.537,1.168
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-09 09:39:00+00:00,>24h,11,10,10,False,0.8529999999999999,-0.14700000000000013,3522.726,1.0075,0.08000000000000002,0.0075,3522.643,True,0.785,0.921
highest-temperature-in-wuhan-on-june-10-2026,Wuhan,2026-06-10,clean,2026-06-09 09:42:00+00:00,>24h,11,10,10,False,0.853,-0.14700000000000002,3702.726,9.1375,0.04000000000000001,0.006999999999999999,3702.678,True,0.806,0.9
highest-temperature-in-jeddah-on-june-6-2026,Jeddah,2026-06-06,degraded,2026-06-05 05:07:00+00:00,>24h,11,11,8,False,0.853,-0.14700000000000002,23.536,12.8765,0.08,0.029000000000000012,18.378,False,0.726,0.98
highest-temperature-in-amsterdam-on-june-8-2026,Amsterdam,2026-06-08,clean,2026-06-06 23:43:00+00:00,>24h,11,11,11,True,1.147,0.14700000000000002,33.853,13.212,0.02999999999999997,0.005999999999999999,31.835,False,1.093,1.201
