event_slug,city,event_date,timestamp,snapshot,market_index,market_label,temperature_bin,raw_mid,normalized_probability
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-06 18:15:00+00:00,T-1,8.0,42°C,42.0,0.0015,0.0014756517461878998
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-06 18:15:00+00:00,T-1,9.0,43°C,43.0,0.0015,0.0014756517461878998
highest-temperature-in-lucknow-on-june-6-2026,Lucknow,2026-06-06,2026-06-06 18:15:00+00:00,T-1,10.0,44°C or higher,44.0,0.002,0.0019675356615838665
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-06 03:08:00+00:00,T-48,0.0,28°C or below,28.0,0.0015,0.0014534883720930232
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-06 03:08:00+00:00,T-48,1.0,29°C,29.0,0.0015,0.0014534883720930232
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-06 03:08:00+00:00,T-48,2.0,30°C,30.0,0.721,0.6986434108527131
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-06 03:08:00+00:00,T-48,3.0,31°C,31.0,0.195,0.18895348837209303
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-06 03:08:00+00:00,T-48,4.0,32°C,32.0,0.07,0.0678294573643411
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-06 03:08:00+00:00,T-48,5.0,33°C,33.0,0.0325,0.031492248062015504
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-06 03:08:00+00:00,T-48,6.0,34°C,34.0,0.005,0.0048449612403100775
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-06 03:08:00+00:00,T-48,7.0,35°C,35.0,0.0025,0.0024224806201550387
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-06 03:08:00+00:00,T-48,8.0,36°C,36.0,0.0015,0.0014534883720930232
highest-temperature-in-hong-kong-on-june-6-2026,Hong Kong,2026-06-06,2026-06-06 03:08:00+00:00,T-48,9.0,37°C,37.0,0.0015,0.0014534883720930232
